name,address,city,state,zip,inspection_score
big save market,5001 03rd st,San Francisco,CA,94124,94.0
bb tea station llc,1314 noriega st,San Francisco,CA,94122,98.0
mike market,2200 silver ave,San Francisco,CA,94124,94.0
bayview hunters point ymca,1601 lane st,San Francisco,CA,94124,96.0
castro street chevron,2399 market st,San Francisco,CA,94114,100.0
starbucks coffee #5431,201 mission st.,San Francisco,CA,94105,94.0
indochine 508,508 valencia st,San Francisco,CA,94112,80.0
encinal,pier 41,San Francisco,CA,94133,96.0
temo cafe,3000 24th st,San Francisco,CA,94110,90.0
sodexo at pg & e energy center,851 howard st,San Francisco,CA,94103,98.0
bay monarch,pier 41,San Francisco,CA,94133,98.0
oski,pier 41,San Francisco,CA,94133,94.0
five markets,2824 24th st,San Francisco,CA,94110,98.0
starbucks coffee,1560 van ness ave,San Francisco,CA,94111,100.0
top round roast beef,2962 24th st.,San Francisco,CA,94110,98.0
soma restaurant and bar,85 05th st,San Francisco,CA,94103,90.0
hotel vitale,8 mission st,San Francisco,CA,94105,76.0
harbor emperor,377,San Francisco,CA,94133,98.0
old blue,pier 41,San Francisco,CA,94133,98.0
whole foods steep brew,1765 california st,San Francisco,CA,94109,100.0
mv vallejo,pier 41,San Francisco,CA,94133,98.0
el dorado market,124 jones st,San Francisco,CA,94102,89.0
illy caffe sf_battery street,123 battery st,San Francisco,CA,94111,94.0
target store t3203-starbucks,1830 ocean ave,San Francisco,CA,94112,96.0
marina deli,2299 chestnut st,San Francisco,CA,94123,89.0
"yemen kitchen, inc.",219 jones st,San Francisco,CA,94102,83.0
mi pueblito market,2765 mission st,San Francisco,CA,94110,86.0
cafe meuse,1400 pacific ave,San Francisco,CA,94109,83.0
subway sanwich #56406,595 buckingham way suit 587,San Francisco,CA,94132,92.0
ua twin stonestown,501 buckingham way,San Francisco,CA,94132,94.0
stonestown family ymca (sr. annex),3150 20th ave,San Francisco,CA,94132,98.0
"patpong thai cuisine, inc.",2415 clement st,San Francisco,CA,94121,74.0
ggp market,2948 24th st,San Francisco,CA,94110,90.0
kazuo kitchen,4036 balboa st,San Francisco,CA,94121,94.0
boston market,2300 16th st,San Francisco,CA,94103,94.0
coffee bar 1 llc,1890 bryant st #c,San Francisco,CA,94103,86.0
tender greens,30 fremont st,San Francisco,CA,94105,92.0
lao table,149 2nd st,San Francisco,CA,94105,75.0
hard knox cafe,2448 clement,San Francisco,CA,94121,90.0
"boba guys, inc.",429 stockton st,San Francisco,CA,94108,90.0
friends liquor,1758 fillmore st,San Francisco,CA,94115,98.0
izumi kaiten sushi,1737 post st ste 355,San Francisco,CA,94115,90.0
the aa bakery & cafe,1068 stockton st,San Francisco,CA,94108,90.0
i cafe chinatown,133 waverly pl,San Francisco,CA,94108,72.0
"yummy dim sum & fast food, llc",930 stockton st,San Francisco,CA,94108,88.0
"miette cakes, llc",449 octavia st,San Francisco,CA,94102,90.0
sf wraps,255 kearny st.,San Francisco,CA,94108,94.0
toast eatery,1748 church st,San Francisco,CA,94131,98.0
good mongkok bakery,1039 stockton st,San Francisco,CA,94108,75.0
newtree,16 jessie st,San Francisco,CA,94105,72.0
chipotle mexican grill #0839,525 market st 1st floor,San Francisco,CA,94105,90.0
raoul wallenberg high school,40 vega st,San Francisco,CA,94115,96.0
pan-o-rama,500 florida st,San Francisco,CA,94110,96.0
mela tandoori kitchen,536 golden gate ave,San Francisco,CA,94102,76.0
creative arts charter school,1601 turk st,San Francisco,CA,94115,98.0
double rock grocery,2830 ingalls st,San Francisco,CA,94124,90.0
san francisco day school,350 masonic st,San Francisco,CA,94118,96.0
charles chocolates,535 florida st,San Francisco,CA,94110,94.0
"joyride coffee distributors, llc",1485 yosemite ave,San Francisco,CA,94124,98.0
joe & the juice,525 market st,San Francisco,CA,94105,98.0
seniore's pizza,2415 19th ave,San Francisco,CA,94116,88.0
pentacle coffee,64 6th st.,San Francisco,CA,94103,94.0
osha express,1 market st #21b,San Francisco,CA,94105,76.0
da cafe,407 clement st,San Francisco,CA,94118,72.0
frena,132 6th st,San Francisco,CA,94103,91.0
chavita's mexican restaurant,3006 mission st,San Francisco,CA,94110,84.0
darwin cafe,212 ritch st,San Francisco,CA,94107,81.0
taqueria cazadores,1600 c mission st,San Francisco,CA,94110,78.0
chili lemon garlic,518 bryant st,San Francisco,CA,94107,86.0
fair trade cafe llc,75 hawthorne st,San Francisco,CA,94105,90.0
five star truffles,4251 a 18th st,San Francisco,CA,94114,98.0
won kok restaurant,700 monterey blvd,San Francisco,CA,94127,84.0
mama coco's restuarant,4995 mission st,San Francisco,CA,94112,83.0
rich table,199 gough st,San Francisco,CA,94102,92.0
yellow submarine,503 irving st,San Francisco,CA,94122,92.0
la fonda,712 irving st,San Francisco,CA,94122,80.0
fritz mission,3412 17th st,San Francisco,CA,94110,86.0
la laguna,3906 03rd st,San Francisco,CA,94124,88.0
john's grill,63 ellis st,San Francisco,CA,94102,78.0
arang restaurant,1506 fillmore st,San Francisco,CA,94115,66.0
hahn's hibachi #6,535 irving st,San Francisco,CA,94122,90.0
lemonade,1266 9th ave,San Francisco,CA,94122,87.0
workshop cafe,180 montgomery st ste. 100,San Francisco,CA,94104,96.0
momo noodle,428 11th,San Francisco,CA,94103,96.0
starbucks coffee co,120 04th st,San Francisco,CA,94103,96.0
